"4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Leto, Spol, Gospodarske dejavnosti po SKD in Kazalnik",,,,,,,
,,,,,,,
,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
,I GOSTINSTVO,17773,435160,4,14,56,25
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,21135,206478,2,9,88,10
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,30618,276977,3,12,137,9
,L POSLOVANJE Z NEPREMIÈNINAMI,2572,41149,3,10,63,16
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",34264,443754,2,9,67,13
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,23560,400546,3,12,73,17
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",91266,1087216,6,22,184,12
,P IZOBRAŽEVANJE,93349,914614,4,13,132,10
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,78171,1018126,5,18,137,13
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",11117,154045,3,11,77,14
,S DRUGE DEJAVNOSTI,7586,140736,3,10,54,19
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
,A01 Kmetijska proizvodnja in lov ter z njima povezane storitve,3768,170318,3,12,27,45
,A02 Gozdarstvo,1501,39397,5,17,66,26
,A03 Ribištvo in gojenje vodnih organizmov,104,3248,4,16,51,31
,B05 Pridobivanje premoga,1232,32203,6,22,84,26
,B06 Pridobivanje surove nafte in zemeljskega plina,1,4,0,0,0,4
,B07 Pridobivanje rud,5,29,2,7,125,6
,B08 Pridobivanje rudnin in kamnin,715,20215,6,21,73,28
,B09 Storitve za rudarstvo,59,683,2,7,64,12
,C10 Proizvodnja živil,10776,212603,5,17,85,20
,C11 Proizvodnja pijaè,1491,25995,4,16,91,17
,C12 Proizvodnja tobaènih izdelkov,-,-,-,-,-,-
,C13 Proizvodnja tekstilij,2258,56835,6,20,81,25
,C14 Proizvodnja oblaèil,3214,57928,5,18,100,18
,"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov",4884,57530,5,17,141,12
,"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,",6179,124460,4,16,78,20
,C17 Proizvodnja papirja in izdelkov iz papirja,4140,79948,5,18,95,19
,C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa,2690,48415,3,13,70,18
,C19 Proizvodnja koksa in naftnih derivatov,17,223,2,8,61,13
,"C20 Proizvodnja kemikalij, kemiènih izdelkov",6228,92287,4,15,98,15
,C21 Proizvodnja farmacevtskih surovin in preparatov,8584,104638,4,16,130,12
,C22 Proizvodnja izdelkov iz gume in plastiènih mas,10940,195175,4,15,82,18
,C23 Proizvodnja nekovinskih mineralnih izdelkov,6210,130449,5,19,90,21
,C24 Proizvodnja kovin,7584,139168,5,18,96,18
,"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav",21491,381097,4,13,71,18
,"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov",9173,114920,5,17,135,13
,C27 Proizvodnja elektriènih naprav,19649,317318,5,19,116,16
,C28 Proizvodnja drugih strojev in naprav,12129,188124,4,15,95,16
,"C29 Proizvodnja motornih vozil, prikolic in polprikolic",14839,224998,4,16,104,15
,C30 Proizvodnja drugih vozil in plovil,755,6891,3,11,124,9
,C31 Proizvodnja pohištva,3786,83310,4,16,73,22
,C32 Druge raznovrstne predelovalne dejavnosti,2919,41524,3,12,86,14
,C33 Popravila in montaža strojev in naprav,5771,115543,3,12,61,20
,"D35 Oskrba z elektrièno energijo, plinom in paro",7811,109903,4,14,98,14
,"E36 Zbiranje, preèišèevanje in distribucija vode",3557,60285,4,15,89,17
,E37 Ravnanje z odplakami,317,6840,5,19,86,22
,"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj",4299,79056,5,17,93,18
,E39 Saniranje okolja in drugo ravnanje z odpadki,327,6246,4,14,74,19
,F41 Gradnja stavb,5322,136396,3,11,44,26
,F42 Gradnja inženirskih objektov,5445,104931,4,13,69,19
,F43 Specializirana gradbena dela,13084,400304,3,11,36,31
,G45 Trgovina z motornimi vozili in popravila motornih vozil,8046,133121,3,10,58,17
,"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili",25383,369564,3,10,68,15
,"G47 Trgovina na drobno, razen z motornimi vozili",45748,816234,4,15,85,18
,"H49 Kopenski promet, cevovodni transport",12993,331773,3,11,43,26
,H50 Vodni promet,159,896,1,4,78,6
,H51 Zraèni promet,725,6447,3,12,129,9
,H52 Skladišèenje in spremljajoèe prometne dejavnosti,9148,131662,4,14,97,14
,H53 Poštna in kurirska dejavnost,8733,139058,6,20,128,16
,I55 Gostinske nastanitvene dejavnosti,8125,172780,5,19,87,21
,I56 Dejavnost strežbe jedi in pijaè,9648,262380,3,12,43,27
,J58 Založništvo,2684,32926,3,12,96,12
,"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi",605,7814,2,6,45,13
,J60 Radijska in televizijska dejavnost,2257,27812,3,11,89,12
,J61 Telekomunikacijske dejavnosti,6242,55667,3,11,127,9
,"J62 Raèunalniško programiranje, svetovanje in druge s tem…",7527,67553,2,6,70,9
,J63 Druge informacijske dejavnosti,1820,14706,2,8,103,8
,"K64 Dejavnosti finanènih storitev, razen zavarovalništva in deja",20493,177658,4,14,156,9
,"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado",7863,73145,3,12,128,9
,K66 Pomožne dejavnosti za finanène in zavarovalniške storitve,2262,26174,2,9,76,12
,L68 Poslovanje z nepremièninami,2572,41149,3,10,63,16
,M69 Pravne in raèunovodske dejavnosti,6277,95922,3,9,59,15
,"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje",7553,101492,3,9,68,13
,"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanj",8588,118933,2,9,61,14
,M72 Znanstvena raziskovalna in razvojna dejavnost,7078,63302,2,8,92,9
,M73 Oglaševanje in raziskovanje trga,2469,26199,2,9,83,11
,M74 Druge strokovne in tehniène dejavnosti,1826,27406,2,7,46,15
,M75 Veterinarstvo,473,10500,3,11,51,22
,N77 Dajanje v najem in zakup,353,6772,3,9,48,19
,N78 Zaposlovalne dejavnosti,10370,107912,2,9,82,10
,"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s p",1177,15104,2,8,65,13
,N80 Varovanje in poizvedovalne dejavnosti,4430,92050,4,15,71,21
,N81 Dejavnost oskrbe stavb in okolice,5589,142936,5,17,67,26
,N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti,1641,35772,4,15,68,22
,"O84* Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti*",91266,1087216,6,22,184,12
,P85 Izobraževanje,93349,914614,4,13,132,10
,Q86 Zdravstvo,52170,650684,5,17,132,13
,Q87 Socialno varstvo z nastanitvijo,17634,283904,6,22,138,16
,Q88 Socialno varstvo brez nastanitve,8367,83538,5,17,171,10
,R90 Kulturne in razvedrilne dejavnosti,2675,49221,2,9,47,18
,"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejav.",4476,42097,3,12,128,9
,R92 Prirejanje iger na sreèo,2616,30380,4,14,123,12
,R93 Športne in druge dejavnosti za prosti èas,1350,32347,3,11,44,24
,S94 Dejavnost èlanskih organizacij,2807,34621,2,9,70,12
,S95 Popravila raèunalnikov in izdelkov za široko rabo,533,10699,2,7,36,20
,S96 Druge storitvene dejavnosti,4246,95416,3,11,49,23
,T97 Dejavnost gospodinjstev z zaposlenim hišnim osebjem,-,-,-,-,-,-
,T98 Raznovrstna proizvodnja gospodinjstev za lastno rabo,-,-,-,-,-,-
,U99 Dejavnost eksteritorialnih organizacij in teles,-,-,-,-,-,-
,00 Ostalo (veèinoma zaposleni v tujini pri tujem delodajalcu),4108,52181,-,-,-,-
2015,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5814,214135,4,13,35,37
,B RUDARSTVO,2166,62719,7,25,88,29
,C PREDELOVALNE DEJAVNOSTI,190813,2984373,4,16,103,16
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",9176,110889,4,14,117,12
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",9568,145659,4,16,102,15
,F GRADBENIŠTVO,26778,699859,3,13,48,26
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",92232,1442432,4,14,87,16
,H PROMET IN SKLADIŠÈENJE,36445,625873,4,13,75,17
,I GOSTINSTVO,19654,465875,4,14,60,24
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,25572,232084,3,10,104,9
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,36732,317129,4,14,166,9
,L POSLOVANJE Z NEPREMIÈNINAMI,2829,41755,3,11,71,15
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",38026,447887,2,9,73,12
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,32076,505299,4,15,95,16
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",105422,1120413,6,23,213,11
,P IZOBRAŽEVANJE,109717,1011484,4,14,154,9
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,91700,1131518,5,19,156,12
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",13275,164159,3,11,90,12
,S DRUGE DEJAVNOSTI,8677,147958,3,10,61,17
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
,A01 Kmetijska proizvodnja in lov ter z njima povezane storitve,3874,169983,3,12,28,44
,A02 Gozdarstvo,1848,42923,5,18,78,23
,A03 Ribištvo in gojenje vodnih organizmov,92,1229,2,6,48,13
,B05 Pridobivanje premoga,1276,41153,8,31,95,32
,B06 Pridobivanje surove nafte in zemeljskega plina,-,-,-,-,-,-
,B07 Pridobivanje rud,-,-,-,-,-,-
,B08 Pridobivanje rudnin in kamnin,832,20398,5,20,80,25
,B09 Storitve za rudarstvo,58,1168,4,15,74,20
,C10 Proizvodnja živil,12329,231414,5,18,95,19
,C11 Proizvodnja pijaè,1686,26369,5,17,109,16
,C12 Proizvodnja tobaènih izdelkov,-,-,-,-,-,-
,C13 Proizvodnja tekstilij,2251,50929,5,18,78,23
,C14 Proizvodnja oblaèil,2835,42815,4,14,92,15
,"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov",5896,64119,5,17,158,11
,"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,",7070,141331,5,17,87,20
,C17 Proizvodnja papirja in izdelkov iz papirja,4580,76995,5,19,111,17
,C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa,2863,47577,3,12,74,17
,C19 Proizvodnja koksa in naftnih derivatov,21,326,5,18,117,16
,"C20 Proizvodnja kemikalij, kemiènih izdelkov",6973,95314,4,15,109,14
,C21 Proizvodnja farmacevtskih surovin in preparatov,10939,108836,4,16,160,10
,C22 Proizvodnja izdelkov iz gume in plastiènih mas,13013,216687,4,15,92,17
,C23 Proizvodnja nekovinskih mineralnih izdelkov,6892,126389,5,18,99,18
,C24 Proizvodnja kovin,8669,149554,5,19,108,17
,"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav",25678,440617,4,14,82,17
,"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov",9997,116396,5,17,145,12
,C27 Proizvodnja elektriènih naprav,23467,342689,6,20,137,15
,C28 Proizvodnja drugih strojev in naprav,13518,191575,4,15,103,14
,"C29 Proizvodnja motornih vozil, prikolic in polprikolic",17146,252240,5,17,116,15
,C30 Proizvodnja drugih vozil in plovil,721,7774,3,12,113,11
,C31 Proizvodnja pohištva,4267,80868,4,15,81,19
,C32 Druge raznovrstne predelovalne dejavnosti,3608,48631,4,14,101,14
,C33 Popravila in montaža strojev in naprav,6394,124928,4,13,67,20
,"D35 Oskrba z elektrièno energijo, plinom in paro",9176,110889,4,14,117,12
,"E36 Zbiranje, preèišèevanje in distribucija vode",4234,59574,4,15,106,14
,E37 Ravnanje z odplakami,294,4355,3,11,77,15
,"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj",4720,76767,5,17,103,16
,E39 Saniranje okolja in drugo ravnanje z odpadki,320,4963,3,11,70,16
,F41 Gradnja stavb,5504,150196,3,13,46,27
,F42 Gradnja inženirskih objektov,6285,111665,4,14,80,18
,F43 Specializirana gradbena dela,14989,437998,3,12,42,29
,G45 Trgovina z motornimi vozili in popravila motornih vozil,9417,154847,3,11,67,16
,"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili",29033,390680,3,10,77,14
,"G47 Trgovina na drobno, razen z motornimi vozili",53782,896905,5,17,100,17
,"H49 Kopenski promet, cevovodni transport",14710,341130,3,11,47,23
,H50 Vodni promet,193,1499,2,7,89,8
,H51 Zraèni promet,941,8188,4,14,160,9
,H52 Skladišèenje in spremljajoèe prometne dejavnosti,10682,129966,4,14,112,12
,H53 Poštna in kurirska dejavnost,9919,145090,6,22,147,15
,I55 Gostinske nastanitvene dejavnosti,8825,186141,5,20,93,21
,I56 Dejavnost strežbe jedi in pijaè,10829,279734,3,12,47,26
,J58 Založništvo,3214,33977,4,14,128,11
,"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi",613,7855,2,6,46,13
,J60 Radijska in televizijska dejavnost,2747,30804,3,12,108,11
,J61 Telekomunikacijske dejavnosti,7777,62018,4,13,160,8
,"J62 Raèunalniško programiranje, svetovanje in druge s tem…",9029,76135,2,7,79,8
,J63 Druge informacijske dejavnosti,2192,21295,3,12,122,10
,"K64 Dejavnosti finanènih storitev, razen zavarovalništva in deja",24119,203244,4,16,187,8
,"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado",9782,82108,4,13,157,8
,K66 Pomožne dejavnosti za finanène in zavarovalniške storitve,2831,31777,3,10,93,11
,L68 Poslovanje z nepremièninami,2829,41755,3,11,71,15
,M69 Pravne in raèunovodske dejavnosti,7258,103969,3,10,67,14
,"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje",7316,100181,2,9,64,14
,"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanj",9697,118808,2,8,68,12
,M72 Znanstvena raziskovalna in razvojna dejavnost,8351,67084,3,9,113,8
,M73 Oglaševanje in raziskovanje trga,2786,25008,2,8,91,9
,M74 Druge strokovne in tehniène dejavnosti,2065,25983,2,6,49,13
,M75 Veterinarstvo,553,6854,2,7,59,12
,N77 Dajanje v najem in zakup,461,7715,3,10,60,17
,N78 Zaposlovalne dejavnosti,17088,186927,4,13,117,11
,"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s p",1434,15581,2,8,78,11
,N80 Varovanje in poizvedovalne dejavnosti,4857,105284,5,18,81,22
,N81 Dejavnost oskrbe stavb in okolice,6057,147998,5,19,79,24
,N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti,2179,41794,4,15,78,19
,"O84* Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti*",105422,1120413,6,23,213,11
,P85 Izobraževanje,109717,1011484,4,14,154,9
,Q86 Zdravstvo,62321,725199,5,18,154,12
,Q87 Socialno varstvo z nastanitvijo,19929,318792,7,24,150,16
,Q88 Socialno varstvo brez nastanitve,9450,87527,5,18,196,9
,R90 Kulturne in razvedrilne dejavnosti,3228,49440,2,8,54,15
,"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejav.",5627,48192,4,14,161,9
,R92 Prirejanje iger na sreèo,2821,32876,4,15,131,12
,R93 Športne in druge dejavnosti za prosti èas,1599,33651,3,11,50,21
,S94 Dejavnost èlanskih organizacij,3209,34085,2,9,83,11
,S95 Popravila raèunalnikov in izdelkov za široko rabo,588,8928,2,6,39,15
,S96 Druge storitvene dejavnosti,4880,104945,3,12,55,22
,T97 Dejavnost gospodinjstev z zaposlenim hišnim osebjem,-,-,-,-,-,-
,T98 Raznovrstna proizvodnja gospodinjstev za lastno rabo,-,-,-,-,-,-
,U99 Dejavnost eksteritorialnih organizacij in teles,-,-,-,-,-,-
,00 Ostalo (veèinoma zaposleni v tujini pri tujem delodajalcu),2936,38374,1,3,22,13
2016,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5564,230545,4,14,35,41
,B RUDARSTVO,2049,55711,7,24,87,27
,C PREDELOVALNE DEJAVNOSTI,192620,3127744,5,16,101,16
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",8879,113210,4,15,114,13
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",9181,163591,5,18,99,18
,F GRADBENIŠTVO,24955,677570,3,12,44,27
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",88914,1485675,4,14,82,17
,H PROMET IN SKLADIŠÈENJE,33857,609549,3,12,69,18
,I GOSTINSTVO,20141,474420,4,14,58,24
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,24577,228649,2,9,95,9
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,32873,303345,4,14,151,9
,L POSLOVANJE Z NEPREMIÈNINAMI,3972,74862,3,12,62,19
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",36123,456757,2,9,67,13
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,34158,555585,4,15,92,16
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",98754,1128653,6,23,198,11
,P IZOBRAŽEVANJE,108107,1037215,4,14,147,10
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,92826,1211623,5,20,151,13
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",12238,161931,3,10,79,13
,S DRUGE DEJAVNOSTI,8066,154137,3,10,53,19
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
,A01 Kmetijska proizvodnja in lov ter z njima povezane storitve,3827,177710,4,13,28,46
,A02 Gozdarstvo,1663,51304,6,23,76,31
,A03 Ribištvo in gojenje vodnih organizmov,74,1531,2,8,37,21
,B05 Pridobivanje premoga,1189,38395,8,30,92,32
,B06 Pridobivanje surove nafte in zemeljskega plina,-,-,-,-,-,-
,B07 Pridobivanje rud,4,73,5,18,100,18
,B08 Pridobivanje rudnin in kamnin,808,16863,5,17,79,21
,B09 Storitve za rudarstvo,48,380,2,8,98,8
,C10 Proizvodnja živil,12326,241535,5,18,92,20
,C11 Proizvodnja pijaè,1552,24736,5,17,104,16
,C12 Proizvodnja tobaènih izdelkov,-,-,-,-,-,-
,C13 Proizvodnja tekstilij,2262,49118,5,17,80,22
,C14 Proizvodnja oblaèil,2520,41173,4,14,84,16
,"C15 Proizvodnja usnja, usnjenih in sorodnih izdelkov",6738,82350,6,23,190,12
,"C16 Obdelava in predelava lesa, proizvodnja izdelkov iz lesa,",6879,146976,5,17,80,21
,C17 Proizvodnja papirja in izdelkov iz papirja,4353,79470,5,19,102,18
,C18 Tiskarstvo in razmnoževanje posnetih nosilcev zapisa,2951,46426,3,12,75,16
,C19 Proizvodnja koksa in naftnih derivatov,5,51,4,13,125,10
,"C20 Proizvodnja kemikalij, kemiènih izdelkov",6800,102664,4,16,106,15
,C21 Proizvodnja farmacevtskih surovin in preparatov,12489,122899,5,17,176,10
,C22 Proizvodnja izdelkov iz gume in plastiènih mas,13292,232710,4,16,90,18
,C23 Proizvodnja nekovinskih mineralnih izdelkov,6247,127556,5,19,93,20
,C24 Proizvodnja kovin,9711,167565,5,17,101,17
,"C25 Proizvodnja kovinskih izdelkov, razen strojev in naprav",26781,485922,4,15,81,18
,"C26 Proizvodnja raèunalnikov, elektronskih in optiènih izdelkov",9649,111664,5,16,141,12
,C27 Proizvodnja elektriènih naprav,22386,356126,5,18,115,16
,C28 Proizvodnja drugih strojev in naprav,13622,210108,4,16,100,15
,"C29 Proizvodnja motornih vozil, prikolic in polprikolic",17254,245828,5,19,136,14
,C30 Proizvodnja drugih vozil in plovil,865,8006,3,10,108,9
,C31 Proizvodnja pohištva,4177,80658,4,15,75,19
,C32 Druge raznovrstne predelovalne dejavnosti,3735,47014,4,13,104,13
,C33 Popravila in montaža strojev in naprav,6026,117189,3,12,61,20
,"D35 Oskrba z elektrièno energijo, plinom in paro",8879,113210,4,15,114,13
,"E36 Zbiranje, preèišèevanje in distribucija vode",4090,68296,5,17,101,17
,E37 Ravnanje z odplakami,349,4572,3,12,88,13
,"E38 Zbiranje in odvoz odpadkov ter ravnanje z njimi, pridobivanj",4392,82122,5,18,98,19
,E39 Saniranje okolja in drugo ravnanje z odpadki,350,8601,6,22,91,25
,F41 Gradnja stavb,5023,145880,3,12,42,29
,F42 Gradnja inženirskih objektov,5604,108088,4,14,74,19
,F43 Specializirana gradbena dela,14328,423602,3,12,39,30
,G45 Trgovina z motornimi vozili in popravila motornih vozil,9058,155713,3,11,61,17
,"G46 Posredništvo in trgovina na debelo, razen z motornimi vozili",27267,397105,3,10,71,15
,"G47 Trgovina na drobno, razen z motornimi vozili",52589,932857,5,17,95,18
,"H49 Kopenski promet, cevovodni transport",13572,329850,3,10,43,24
,H50 Vodni promet,164,1540,2,7,73,9
,H51 Zraèni promet,893,8372,4,15,156,9
,H52 Skladišèenje in spremljajoèe prometne dejavnosti,9548,127935,4,13,97,13
,H53 Poštna in kurirska dejavnost,9680,141852,6,22,149,15
,I55 Gostinske nastanitvene dejavnosti,8640,177070,5,18,88,21
,I56 Dejavnost strežbe jedi in pijaè,11501,297350,3,12,46,26
,J58 Založništvo,2825,31668,4,13,117,11
,"J59 Dejavnosti v zvezi s filmi, video- in zvoènimi zapisi",711,6872,1,5,49,10
,J60 Radijska in televizijska dejavnost,2765,32800,3,12,103,12
,J61 Telekomunikacijske dejavnosti,6960,61201,4,13,147,9
,"J62 Raèunalniško programiranje, svetovanje in druge s tem…",9237,76985,2,6,74,8
,J63 Druge informacijske dejavnosti,2079,19123,3,10,110,9
,"K64 Dejavnosti finanènih storitev, razen zavarovalništva in deja",21359,184478,4,15,174,9
,"K65 Dejavnosti zavarovanja, pozavarovanja in pokojninskih sklado",8873,82824,4,13,141,9
,K66 Pomožne dejavnosti za finanène in zavarovalniške storitve,2641,36043,3,12,85,14
,L68 Poslovanje z nepremièninami,3972,74862,3,12,62,19
,M69 Pravne in raèunovodske dejavnosti,7044,110322,3,10,63,16
,"M70 Dejavnost uprav podjetij, podjetniško in poslovno svetovanje",6759,96335,2,8,56,14
,"M71 Arhitekturno in tehnièno projektiranje, tehnièno preizkušanj",9242,127172,2,9,65,14
,M72 Znanstvena raziskovalna in razvojna dejavnost,7893,64060,2,9,108,8
,M73 Oglaševanje in raziskovanje trga,2667,23651,2,8,84,9
,M74 Druge strokovne in tehniène dejavnosti,1939,24288,2,5,42,13
,M75 Veterinarstvo,579,10929,3,12,61,19
,N77 Dajanje v najem in zakup,492,7928,3,10,60,16
,N78 Zaposlovalne dejavnosti,19293,221609,4,13,115,12
,"N79 Dejavnost potovalnih agencij, organizatorjev potovanj in s p",1444,16669,2,9,74,12
,N80 Varovanje in poizvedovalne dejavnosti,4646,113162,5,18,75,24
,N81 Dejavnost oskrbe stavb in okolice,5507,144268,5,18,70,26
,N82 Pisarniške in spremljajoèe poslovne storitvene dejavnosti,2776,51949,4,15,81,19
,"O84* Dejavnost javne uprave in obrambe, dejavnost obvezne socialne varnosti*",98754,1128653,6,23,198,11
,P85 Izobraževanje,108107,1037215,4,14,147,10
,Q86 Zdravstvo,62506,771965,5,18,148,12
,Q87 Socialno varstvo z nastanitvijo,21231,344146,7,24,149,16
,Q88 Socialno varstvo brez nastanitve,9089,95512,5,19,185,11
,R90 Kulturne in razvedrilne dejavnosti,2934,48903,2,8,48,17
,"R91 Dejavnost knjižnic, arhivov, muzejev in druge kulturne dejav.",5024,48083,4,13,140,10
,R92 Prirejanje iger na sreèo,2705,33268,4,14,117,12
,R93 Športne in druge dejavnosti za prosti èas,1575,31677,3,9,45,20
,S94 Dejavnost èlanskih organizacij,2991,40247,3,10,75,14
,S95 Popravila raèunalnikov in izdelkov za široko rabo,595,12588,2,8,38,21
,S96 Druge storitvene dejavnosti,4480,101302,3,11,47,23
,T97 Dejavnost gospodinjstev z zaposlenim hišnim osebjem,-,-,-,-,-,-
,T98 Raznovrstna proizvodnja gospodinjstev za lastno rabo,-,-,-,-,-,-
,U99 Dejavnost eksteritorialnih organizacij in teles,-,-,-,-,-,-
,00 Ostalo (veèinoma zaposleni v tujini pri tujem delodajalcu),1679,28426,0,2,12,17
2017,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5508,233484,4,15,35,42
,B RUDARSTVO,2288,61931,7,26,95,27
,C PREDELOVALNE DEJAVNOSTI,207951,3444462,5,17,103,17
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",9444,118232,4,15,121,13
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",9768,194407,6,21,105,20
,F GRADBENIŠTVO,26500,722060,3,12,45,27
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",98309,1632633,4,15,88,17
,H PROMET IN SKLADIŠÈENJE,36167,648737,3,13,70,18
,I GOSTINSTVO,21874,515096,4,14,61,24
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,28258,234913,2,9,106,8
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,35263,312021,4,15,165,9
,L POSLOVANJE Z NEPREMIÈNINAMI,5015,78688,3,12,76,16
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",39708,476471,2,9,71,12
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,42655,653910,5,16,107,15
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",108136,1195907,7,24,215,11
,P IZOBRAŽEVANJE,117556,1135331,4,15,155,10
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,102025,1279639,6,20,162,13
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",13368,189535,3,12,84,14
,S DRUGE DEJAVNOSTI,9202,170573,3,11,59,19
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
