"2: Kazalniki po razlogih bolniškega staleža in spolu, Slovenija, letno po spremenljivkah: Leto, Spol, Razlog zadržanosti in Kazalnik",,,,,,,
,,,,,,,
,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
,Spremstvo,33086,37645,0,0,4,1
,Usposabljanje za rehabilitacijo otroka,68,555,0,0,0,8
,Poškodbe pri delu po 18. èl. ZZVZZ,9,555,0,0,0,62
,Neznano,-,-,-,-,-,-
2004,Bolezen,514450,10370293,3,13,62,20
,Poškodbe izven dela,62351,1938299,1,2,8,31
,Poklicna bolezen,77,2814,0,0,0,37
,Poškodbe pri delu,34950,1284852,0,2,4,37
,Poškodbe po 3. osebi izven dela,10148,378885,0,0,1,37
,Nega družinskega èlana,104176,537074,0,1,13,5
,Transplantacija,24,526,0,0,0,22
,Izolacija,60,2522,0,0,0,42
,Spremstvo,35955,41849,0,0,4,1
,Usposabljanje za rehabilitacijo otroka,48,637,0,0,0,13
,Poškodbe pri delu po 18. èl. ZZVZZ,22,1998,0,0,0,91
,Neznano,-,-,-,-,-,-
2005,Bolezen,548289,10404545,3,12,66,19
,Poškodbe izven dela,58887,1855705,1,2,7,32
,Poklicna bolezen,68,3027,0,0,0,45
,Poškodbe pri delu,31470,1152658,0,1,4,37
,Poškodbe po 3. osebi izven dela,8121,316241,0,0,1,39
,Nega družinskega èlana,107290,532417,0,1,13,5
,Transplantacija,17,426,0,0,0,25
,Izolacija,57,2155,0,0,0,38
,Spremstvo,35669,43197,0,0,4,1
,Usposabljanje za rehabilitacijo otroka,36,364,0,0,0,10
,Poškodbe pri delu po 18. èl. ZZVZZ,26,1336,0,0,0,51
,Neznano,1,214,-,-,-,-
2006,Bolezen,262164,5326778,4,14,70,20
,Poškodbe izven dela,16826,528823,0,1,5,31
,Poklicna bolezen,21,2557,0,0,0,122
,Poškodbe pri delu,8649,301846,0,1,2,35
,Poškodbe po 3. osebi izven dela,3033,114126,0,0,1,38
,Nega družinskega èlana,76054,398203,0,1,20,5
,Transplantacija,16,206,0,0,0,13
,Izolacija,32,1422,0,0,0,44
,Spremstvo,22464,30200,0,0,6,1
,Usposabljanje za rehabilitacijo otroka,35,367,0,0,0,11
,Poškodbe pri delu po 18. èl. ZZVZZ,4,172,0,0,0,43
,Neznano,-,-,-,-,-,-
2007,Bolezen,543475,10140741,3,12,62,19
,Poškodbe izven dela,59565,1844330,1,2,7,31
,Poklicna bolezen,56,2749,0,0,0,49
,Poškodbe pri delu,31157,1158418,0,1,4,37
,Poškodbe po 3. osebi izven dela,8809,358990,0,0,1,41
,Nega družinskega èlana,113815,546911,0,1,13,5
,Transplantacija,18,143,0,0,0,8
,Izolacija,80,2082,0,0,0,26
,Spremstvo,31836,38270,0,0,4,1
,Usposabljanje za rehabilitacijo otroka,52,599,0,0,0,12
,Poškodbe pri delu po 18. èl. ZZVZZ,27,1563,0,0,0,58
,Neznano,5,467,-,-,-,-
2008,Bolezen,507755,10019821,3,11,57,20
,Poškodbe izven dela,57515,1825711,1,2,6,32
,Poklicna bolezen,70,4625,0,0,0,66
,Poškodbe pri delu,28675,1105000,0,1,3,39
,Poškodbe po 3. osebi izven dela,7068,310415,0,0,1,44
,Nega družinskega èlana,111899,571196,0,1,13,5
,Transplantacija,23,1337,0,0,0,58
,Izolacija,86,4107,0,0,0,48
,Spremstvo,26643,49785,0,0,3,2
,Usposabljanje za rehabilitacijo otroka,56,507,0,0,0,9
,Poškodbe pri delu po 18. èl. ZZVZZ,33,1104,0,0,0,33
,Neznano,11,1049,-,-,-,-
2009,Bolezen,507130,9623205,3,11,58,19
,Poškodbe izven dela,54171,1762833,1,2,6,33
,Poklicna bolezen,40,1535,0,0,0,38
,Poškodbe pri delu,23835,964902,0,1,3,40
,Poškodbe po 3. osebi izven dela,6185,278611,0,0,1,45
,Nega družinskega èlana,124475,633917,0,1,14,5
,Transplantacija,21,1114,0,0,0,53
,Izolacija,94,4100,0,0,0,44
,Spremstvo,26299,51854,0,0,3,2
,Usposabljanje za rehabilitacijo otroka,56,954,0,0,0,17
,Poškodbe pri delu po 18. èl. ZZVZZ,35,2170,0,0,0,62
,Neznano,1,189,-,-,-,-
2010,Bolezen,486761,9147478,3,11,57,19
,Poškodbe izven dela,53268,1791598,1,2,6,34
,Poklicna bolezen,49,1459,0,0,0,30
,Poškodbe pri delu,23602,977064,0,1,3,41
,Poškodbe po 3. osebi izven dela,5401,246383,0,0,1,46
,Nega družinskega èlana,124156,580071,0,1,14,5
,Transplantacija,25,573,0,0,0,23
,Izolacija,72,4617,0,0,0,64
,Spremstvo,35598,56621,0,0,4,2
,Usposabljanje za rehabilitacijo otroka,52,585,0,0,0,11
,Poškodbe pri delu po 18. èl. ZZVZZ,18,1760,0,0,0,98
,Neznano,2,33,-,-,-,-
2011,Bolezen,489195,8996444,3,11,58,18
,Poškodbe izven dela,50434,1724966,1,2,6,34
,Poklicna bolezen,29,960,0,0,0,33
,Poškodbe pri delu,20358,890508,0,1,2,44
,Poškodbe po 3. osebi izven dela,4370,214612,0,0,1,49
,Nega družinskega èlana,134916,645350,0,1,16,5
,Transplantacija,13,337,0,0,0,26
,Izolacija,65,2195,0,0,0,34
,Spremstvo,35067,61858,0,0,4,2
,Usposabljanje za rehabilitacijo otroka,48,770,0,0,0,16
,Poškodbe pri delu po 18. èl. ZZVZZ,28,1064,0,0,0,38
,Neznano,-,-,-,-,-,-
2012,Bolezen,477226,8914569,3,11,60,19
,Poškodbe izven dela,49404,1698717,1,2,6,34
,Poklicna bolezen,33,1318,0,0,0,40
,Poškodbe pri delu,19348,842423,0,1,2,44
,Poškodbe po 3. osebi izven dela,4145,202838,0,0,1,49
,Nega družinskega èlana,131434,622771,0,1,16,5
,Transplantacija,25,1325,0,0,0,53
,Izolacija,41,3199,0,0,0,78
,Spremstvo,41679,65402,0,0,5,2
,Usposabljanje za rehabilitacijo otroka,57,957,0,0,0,17
,Poškodbe pri delu po 18. èl. ZZVZZ,21,767,0,0,0,37
,Neznano,-,-,-,-,-,-
2013,Bolezen,493799,8528678,3,11,62,17
,Poškodbe izven dela,48661,1680856,1,2,6,35
,Poklicna bolezen,32,398,0,0,0,12
,Poškodbe pri delu,15532,734150,0,1,2,47
,Poškodbe po 3. osebi izven dela,4521,213674,0,0,1,47
,Nega družinskega èlana,140188,649821,0,1,18,5
,Transplantacija,19,290,0,0,0,15
,Izolacija,27,1100,0,0,0,41
,Spremstvo,52602,69716,0,0,7,1
,Usposabljanje za rehabilitacijo otroka,75,772,0,0,0,10
,Poškodbe pri delu po 18. èl. ZZVZZ,19,923,0,0,0,49
,Neznano,-,-,-,-,-,-
2014,Bolezen,476294,7945281,3,10,59,17
,Poškodbe izven dela,46265,1597827,1,2,6,35
,Poklicna bolezen,35,1896,0,0,0,54
,Poškodbe pri delu,14208,634705,0,1,2,45
,Poškodbe po 3. osebi izven dela,3980,195976,0,0,0,49
,Nega družinskega èlana,140925,605111,0,1,17,4
,Transplantacija,11,608,0,0,0,55
,Izolacija,34,2062,0,0,0,61
,Spremstvo,57836,81529,0,0,7,1
,Usposabljanje za rehabilitacijo otroka,86,1862,0,0,0,22
,Poškodbe pri delu po 18. èl. ZZVZZ,34,2317,0,0,0,68
,Neznano,-,-,-,-,-,-
2015,Bolezen,557521,8653393,3,11,68,16
,Poškodbe izven dela,47766,1618932,1,2,6,34
,Poklicna bolezen,29,3186,0,0,0,110
,Poškodbe pri delu,14790,682872,0,1,2,46
,Poškodbe po 3. osebi izven dela,4184,194812,0,0,1,47
,Nega družinskega èlana,162031,656442,0,1,20,4
,Transplantacija,14,1090,0,0,0,78
,Izolacija,58,2698,0,0,0,47
,Spremstvo,73059,93156,0,0,9,1
,Usposabljanje za rehabilitacijo otroka,142,1571,0,0,0,11
,Poškodbe pri delu po 18. èl. ZZVZZ,21,1775,0,0,0,85
,Neznano,-,-,-,-,-,-
2016,Bolezen,543175,8924298,3,11,64,16
,Poškodbe izven dela,47307,1693683,1,2,6,36
,Poklicna bolezen,28,937,0,0,0,33
,Poškodbe pri delu,14106,696154,0,1,2,49
,Poškodbe po 3. osebi izven dela,3964,197965,0,0,0,50
,Nega družinskega èlana,157137,659117,0,1,18,4
,Transplantacija,22,714,0,0,0,32
,Izolacija,60,1933,0,0,0,32
,Spremstvo,73581,101649,0,0,9,1
,Usposabljanje za rehabilitacijo otroka,124,1467,0,0,0,12
,Poškodbe pri delu po 18. èl. ZZVZZ,29,1281,0,0,0,44
,Neznano,-,-,-,-,-,-
2017,Bolezen,597297,9771547,3,11,69,16
,Poškodbe izven dela,49699,1837841,1,2,6,37
,Poklicna bolezen,30,1527,0,0,0,51
,Poškodbe pri delu,14895,720414,0,1,2,48
,Poškodbe po 3. osebi izven dela,3897,210609,0,0,0,54
,Nega družinskega èlana,170285,660557,0,1,20,4
,Transplantacija,20,1779,0,0,0,89
,Izolacija,75,2229,0,0,0,30
,Spremstvo,84456,112362,0,0,10,1
,Usposabljanje za rehabilitacijo otroka,125,1529,0,0,0,12
,Poškodbe pri delu po 18. èl. ZZVZZ,33,2575,0,0,0,78
,Neznano,-,-,-,-,-,-
2018,Bolezen,640831,10922096,3,12,71,17
,Poškodbe izven dela,51895,1976411,1,2,6,38
,Poklicna bolezen,33,1718,0,0,0,52
,Poškodbe pri delu,15209,795947,0,1,2,52
,Poškodbe po 3. osebi izven dela,3856,211326,0,0,0,55
,Nega družinskega èlana,181594,740527,0,1,20,4
,Transplantacija,13,313,0,0,0,24
,Izolacija,61,2848,0,0,0,47
,Spremstvo,96392,125037,0,0,11,1
,Usposabljanje za rehabilitacijo otroka,112,1722,0,0,0,15
,Poškodbe pri delu po 18. èl. ZZVZZ,31,2985,0,0,0,96
,Neznano,-,-,-,-,-,-
2019,Bolezen,690890,12147672,4,13,75,18
,Poškodbe izven dela,53336,2132206,1,2,6,40
,Poklicna bolezen,15,560,0,0,0,37
,Poškodbe pri delu,15019,805043,0,1,2,54
,Poškodbe po 3. osebi izven dela,3522,212815,0,0,0,60
,Nega družinskega èlana,196175,786557,0,1,21,4
,Transplantacija,16,1032,0,0,0,65
,Izolacija,39,1963,0,0,0,50
,Spremstvo,113225,149412,0,0,12,1
,Usposabljanje za rehabilitacijo otroka,121,1936,0,0,0,16
,Poškodbe pri delu po 18. èl. ZZVZZ,36,3134,0,0,0,87
,Neznano,-,-,-,-,-,-
,,,,,,,
"Povezane vsebine:
- <A class=seznam HREF=/docs/3_3f_BS_2016.pdf target=_blank>Metodološka pojasnila</A>
",,,,,,,
,,,,,,,
Zadnja posodobitev:,,,,,,,
20200930 09:00,,,,,,,
,,,,,,,
Vir podatkov:,,,,,,,
NIJZ,,,,,,,
,,,,,,,
Kontakt:,,,,,,,
"Blaženka Jeren, NIJZ",,,,,,,
+386 (01) 2441 501,,,,,,,
<a href='mailto:blazenka.jeren@nijz.si'>blazenka.jeren@nijz.si</a>,,,,,,,
,,,,,,,
Avtorske pravice,,,,,,,
,,,,,,,
Enote:,,,,,,,
Primeri,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Zbirka podatkov:,,,,,,,
"NIJZ 3 - Evidenca zaèasne odsotnosti z dela zaradi bolezni, poškodb in drugih vzrokov (BS)",,,,,,,
,,,,,,,
Kratko ime:,,,,,,,
10700002,,,,,,,
