"4: Kazalniki bolniškega staleža po spolu in gospodarskih dejavnostih (SKD), Slovenija, letno po spremenljivkah: Leto, Spol, Gospodarske dejavnosti po SKD in Kazalnik",,,,,,,
,,,,,,,
,,Primeri,Koledarski dnevi,Odstotek BS (% BS),Izgubljeni koledarski dnevi na zaposlenega (IO),Število primerov na 100 zaposlenih (IF),Povpreèno trajanje ene odsotnosti (R)
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
2009,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",6426,235671,4,13,35,37
,B RUDARSTVO,2362,60674,5,19,75,26
,C PREDELOVALNE DEJAVNOSTI,183628,3613124,5,19,95,20
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",6572,104939,4,14,85,16
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",6717,138383,4,15,74,21
,F GRADBENIŠTVO,39558,957052,3,12,48,24
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",75221,1453695,3,13,65,19
,H PROMET IN SKLADIŠÈENJE,27966,585737,3,12,59,21
,I GOSTINSTVO,17524,466057,4,15,55,27
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,16689,195343,2,9,76,12
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,29508,342150,4,14,119,12
,L POSLOVANJE Z NEPREMIÈNINAMI,2099,44148,3,11,53,21
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",27253,396486,2,9,59,15
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,18754,388200,4,15,72,21
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",66493,825786,4,15,123,12
,P IZOBRAŽEVANJE,71423,893362,4,13,107,13
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,53027,886478,5,16,98,17
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",9528,154670,3,10,64,16
,S DRUGE DEJAVNOSTI,6043,136400,3,11,47,23
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
2010,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",6301,229521,4,14,37,36
,B RUDARSTVO,2486,57678,5,20,85,23
,C PREDELOVALNE DEJAVNOSTI,180334,3421822,5,18,96,19
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",6765,110733,4,15,89,16
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",7670,157191,5,17,83,21
,F GRADBENIŠTVO,39834,973272,4,13,54,24
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",80279,1504341,4,14,73,19
,H PROMET IN SKLADIŠÈENJE,28760,619620,4,13,62,22
,I GOSTINSTVO,18430,473718,4,15,58,26
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,18233,205570,3,9,80,11
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,29985,324914,4,13,123,11
,L POSLOVANJE Z NEPREMIÈNINAMI,2480,49558,3,12,58,20
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",28295,394918,2,8,59,14
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,20635,425610,5,16,79,21
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",78251,874405,5,17,148,11
,P IZOBRAŽEVANJE,74975,907919,4,13,109,12
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,61773,957223,5,18,115,16
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",10921,157220,3,11,75,14
,S DRUGE DEJAVNOSTI,6966,145802,3,11,52,21
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
2011,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5652,209295,4,13,35,37
,B RUDARSTVO,2259,51093,5,19,82,23
,C PREDELOVALNE DEJAVNOSTI,174950,3232284,5,17,94,19
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",7049,107285,4,14,90,15
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",8150,165680,5,17,85,20
,F GRADBENIŠTVO,34012,856758,4,14,54,25
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",82203,1458620,4,13,75,18
,H PROMET IN SKLADIŠÈENJE,30814,610563,4,13,66,20
,I GOSTINSTVO,18433,460377,4,15,59,25
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,19342,200859,2,9,84,10
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,31849,333210,4,14,133,11
,L POSLOVANJE Z NEPREMIÈNINAMI,2456,55071,4,14,61,22
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",30265,420093,2,8,61,14
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,21176,397555,4,15,80,19
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",85292,1210853,4,15,103,14
,P IZOBRAŽEVANJE,81272,931887,4,13,116,12
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,65630,1004390,5,18,119,15
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",11120,161493,3,12,79,15
,S DRUGE DEJAVNOSTI,7500,142724,3,11,56,19
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",2,2,0,0,0,0
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
2012,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5498,212237,4,13,34,39
,B RUDARSTVO,2114,53144,5,20,79,25
,C PREDELOVALNE DEJAVNOSTI,172123,3149324,5,17,95,18
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",7192,107623,4,14,92,15
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",8207,157606,5,17,86,19
,F GRADBENIŠTVO,28546,811254,4,14,50,28
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",80680,1468242,4,14,75,18
,H PROMET IN SKLADIŠÈENJE,30638,628841,4,14,67,21
,I GOSTINSTVO,18358,463236,4,15,59,25
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,19308,198847,2,9,83,10
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,30505,311995,4,14,132,10
,L POSLOVANJE Z NEPREMIÈNINAMI,2510,41012,3,10,62,16
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",31121,440999,2,9,63,14
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,21061,405284,4,16,82,19
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",90702,1580814,9,31,177,17
,P IZOBRAŽEVANJE,83693,951659,4,14,121,11
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,69836,1008845,5,18,125,14
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",10933,166355,3,12,79,15
,S DRUGE DEJAVNOSTI,7237,155271,3,12,54,22
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
2013,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5654,220463,4,14,35,39
,B RUDARSTVO,2128,64402,7,24,81,30
,C PREDELOVALNE DEJAVNOSTI,175588,3027988,5,17,98,17
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",8129,105705,4,13,103,13
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",8675,155671,4,16,89,18
,F GRADBENIŠTVO,25932,701898,3,13,46,27
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",82218,1424648,4,14,79,17
,H PROMET IN SKLADIŠÈENJE,32838,635832,4,14,71,19
,I GOSTINSTVO,18566,454328,4,15,61,25
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,21101,212538,3,9,90,10
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,31947,309780,4,14,140,10
,L POSLOVANJE Z NEPREMIÈNINAMI,2686,53983,4,13,67,20
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",34147,454928,2,9,67,13
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,21134,413823,4,16,81,20
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",92039,1248895,7,25,183,14
,P IZOBRAŽEVANJE,92870,964084,4,14,133,10
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,76799,1062738,5,19,137,14
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",11411,167457,3,12,82,15
,S DRUGE DEJAVNOSTI,7914,154938,3,12,59,20
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
2014,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5373,212963,4,13,32,40
,B RUDARSTVO,2012,53134,6,21,80,26
,C PREDELOVALNE DEJAVNOSTI,165707,2799379,4,16,92,17
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",7811,109903,4,14,98,14
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",8500,152427,4,16,90,18
,F GRADBENIŠTVO,23851,641631,3,12,43,27
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",79177,1318919,3,13,75,17
,H PROMET IN SKLADIŠÈENJE,31758,609836,4,13,67,19
,I GOSTINSTVO,17773,435160,4,14,56,25
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,21135,206478,2,9,88,10
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,30618,276977,3,12,137,9
,L POSLOVANJE Z NEPREMIÈNINAMI,2572,41149,3,10,63,16
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",34264,443754,2,9,67,13
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,23560,400546,3,12,73,17
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",91266,1087216,6,22,184,12
,P IZOBRAŽEVANJE,93349,914614,4,13,132,10
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,78171,1018126,5,18,137,13
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",11117,154045,3,11,77,14
,S DRUGE DEJAVNOSTI,7586,140736,3,10,54,19
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
2015,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5814,214135,4,13,35,37
,B RUDARSTVO,2166,62719,7,25,88,29
,C PREDELOVALNE DEJAVNOSTI,190813,2984373,4,16,103,16
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",9176,110889,4,14,117,12
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",9568,145659,4,16,102,15
,F GRADBENIŠTVO,26778,699859,3,13,48,26
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",92232,1442432,4,14,87,16
,H PROMET IN SKLADIŠÈENJE,36445,625873,4,13,75,17
,I GOSTINSTVO,19654,465875,4,14,60,24
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,25572,232084,3,10,104,9
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,36732,317129,4,14,166,9
,L POSLOVANJE Z NEPREMIÈNINAMI,2829,41755,3,11,71,15
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",38026,447887,2,9,73,12
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,32076,505299,4,15,95,16
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",105422,1120413,6,23,213,11
,P IZOBRAŽEVANJE,109717,1011484,4,14,154,9
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,91700,1131518,5,19,156,12
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",13275,164159,3,11,90,12
,S DRUGE DEJAVNOSTI,8677,147958,3,10,61,17
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
2016,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5564,230545,4,14,35,41
,B RUDARSTVO,2049,55711,7,24,87,27
,C PREDELOVALNE DEJAVNOSTI,192620,3127744,5,16,101,16
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",8879,113210,4,15,114,13
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",9181,163591,5,18,99,18
,F GRADBENIŠTVO,24955,677570,3,12,44,27
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",88914,1485675,4,14,82,17
,H PROMET IN SKLADIŠÈENJE,33857,609549,3,12,69,18
,I GOSTINSTVO,20141,474420,4,14,58,24
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,24577,228649,2,9,95,9
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,32873,303345,4,14,151,9
,L POSLOVANJE Z NEPREMIÈNINAMI,3972,74862,3,12,62,19
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",36123,456757,2,9,67,13
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,34158,555585,4,15,92,16
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",98754,1128653,6,23,198,11
,P IZOBRAŽEVANJE,108107,1037215,4,14,147,10
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,92826,1211623,5,20,151,13
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",12238,161931,3,10,79,13
,S DRUGE DEJAVNOSTI,8066,154137,3,10,53,19
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
2017,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5508,233484,4,15,35,42
,B RUDARSTVO,2288,61931,7,26,95,27
,C PREDELOVALNE DEJAVNOSTI,207951,3444462,5,17,103,17
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",9444,118232,4,15,121,13
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",9768,194407,6,21,105,20
,F GRADBENIŠTVO,26500,722060,3,12,45,27
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",98309,1632633,4,15,88,17
,H PROMET IN SKLADIŠÈENJE,36167,648737,3,13,70,18
,I GOSTINSTVO,21874,515096,4,14,61,24
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,28258,234913,2,9,106,8
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,35263,312021,4,15,165,9
,L POSLOVANJE Z NEPREMIÈNINAMI,5015,78688,3,12,76,16
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",39708,476471,2,9,71,12
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,42655,653910,5,16,107,15
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",108136,1195907,7,24,215,11
,P IZOBRAŽEVANJE,117556,1135331,4,15,155,10
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,102025,1279639,6,20,162,13
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",13368,189535,3,12,84,14
,S DRUGE DEJAVNOSTI,9202,170573,3,11,59,19
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
2018,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",5820,256131,4,16,37,44
,B RUDARSTVO,2435,53558,6,23,103,22
,C PREDELOVALNE DEJAVNOSTI,234927,3840581,5,18,112,16
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",10581,115495,4,15,135,11
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",10502,177701,5,18,108,17
,F GRADBENIŠTVO,28758,822032,4,13,45,29
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",108088,1813883,4,16,95,17
,H PROMET IN SKLADIŠÈENJE,38281,734887,4,14,70,19
,I GOSTINSTVO,24698,594364,4,16,66,24
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,28350,260767,3,9,102,9
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,33923,339239,4,16,160,10
,L POSLOVANJE Z NEPREMIÈNINAMI,5505,92133,4,14,81,17
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",42825,523466,3,9,74,12
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,47185,755077,5,19,121,16
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",109173,1302663,7,26,218,12
,P IZOBRAŽEVANJE,125534,1225706,4,16,161,10
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,107984,1457301,6,23,167,14
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",13701,200775,3,12,84,15
,S DRUGE DEJAVNOSTI,9782,183590,3,12,61,19
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
2019,"A KMETIJSTVO IN LOV, GOZDARSTVO, RIBIŠTVO",6187,286032,5,18,39,46
,B RUDARSTVO,2666,68166,8,29,112,26
,C PREDELOVALNE DEJAVNOSTI,260552,4272735,6,20,123,16
,"D OSKRBA Z ELEKTRIÈNO ENERGIJO, PLINOM IN PARO",11330,124667,4,16,145,11
,"E OSKRBA Z VODO, RAVNANJE Z ODPLAKAMI IN ODPADKI, SANIRANJE OKOLJA",11327,197344,6,21,119,17
,F GRADBENIŠTVO,31490,916701,4,13,45,29
,"G TRGOVINA, VZDRŽEVANJE IN POPRAVILA MOTORNIH VOZIL",119209,2013490,5,17,103,17
,H PROMET IN SKLADIŠÈENJE,41463,806977,4,15,75,20
,I GOSTINSTVO,27001,653483,5,17,70,24
,J INFORMACIJSKE IN KOMUNIKACIJSKE DEJAVNOSTI,30855,294415,3,10,107,10
,K FINANÈNE IN ZAVAROVALNIŠKE DEJAVNOSTI,34722,346279,5,17,166,10
,L POSLOVANJE Z NEPREMIÈNINAMI,5734,97365,4,14,84,17
,"M STROKOVNE, ZNANSTVENE IN TEHNIÈNE DEJAVNOSTI",46794,598945,3,10,78,13
,N DRUGE RAZNOVRSTNE POSLOVNE DEJAVNOSTI,47919,822220,6,21,123,17
,"O* DEJAVNOST JAVNE UPRAVE IN OBRAMBE, DEJAVNOST OBVEZNE SOCIALNE VARNOSTI*",114100,1331521,7,26,226,12
,P IZOBRAŽEVANJE,136187,1367041,5,17,171,10
,Q ZDRAVSTVO IN SOCIALNO VARSTVO,117354,1557911,6,23,176,13
,"R KULTURNE, RAZVEDRILNE IN REKREACIJSKE DEJAVNOSTI",14501,219925,4,13,87,15
,S DRUGE DEJAVNOSTI,10783,235737,4,14,63,22
,"T DEJAVNOST GOSPODINJSTEV Z ZAPOSLENIM HIŠNIM OSEBJEM, PROIZVODNJA ZA LASTNO RABO",-,-,-,-,-,-
,U DEJAVNOST EKSTERITORIALNIH ORGANIZACIJ IN TELES,-,-,-,-,-,-
,,,,,,,
"Pojasnilo (*)
- V dejavnosti O so od leta 2011 vkljuèene brezposelne osebe iz vseh dejavnosti, ki so imele pravico do denarnega nadomestila za èas zaèasne nezmožnosti za delo. Najveè primerov je bilo v letih 2010-2012. ZUJF z dne 31. 5. 2012 ukinja to pravico, razen v primerih že zaèetih postopkov za uveljavljanje pravice.",,,,,,,
"Povezane vsebine:
- <A class=seznam HREF=/docs/3_3f_BS_2016.pdf target=_blank>Metodološka pojasnila</A>
",,,,,,,
,,,,,,,
Zadnja posodobitev:,,,,,,,
20200930 09:00,,,,,,,
,,,,,,,
Vir podatkov:,,,,,,,
NIJZ,,,,,,,
,,,,,,,
Kontakt:,,,,,,,
"Blaženka Jeren, NIJZ",,,,,,,
+386 (01) 2441 501,,,,,,,
<a href='mailto:blazenka.jeren@nijz.si'>blazenka.jeren@nijz.si</a>,,,,,,,
,,,,,,,
Avtorske pravice,,,,,,,
,,,,,,,
Enote:,,,,,,,
Primeri,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Zbirka podatkov:,,,,,,,
"NIJZ 3 - Evidenca zaèasne odsotnosti z dela zaradi bolezni, poškodb in drugih vzrokov (BS)",,,,,,,
,,,,,,,
Kratko ime:,,,,,,,
10700004,,,,,,,
